param1,param2,class
5.155648166680582,-2.6469379692540866,8
-1.7311014339490312,-8.433733547169568,4
4.1824014618156395,-4.006351589439159,8
6.383157697988685,-6.190317814182145,1
-6.986988029040565,-9.956602500794698,6
4.334554076667029,-0.1726137303312656,5
3.989749356407478,-2.624672966399019,8
-7.857144153002174,-9.935722345176103,6
-8.28074395603417,3.5516388385999806,7
4.982844050111244,-6.2987167921521126,2
4.9793986858615735,-7.174232252783354,1
0.5291690065601288,7.290735698250375,0
-0.9757531431120028,-7.9913060242482565,4
-3.212449886887565,6.491785365644762,9
1.6544509415939426,2.7678633357488804,0
-1.8055397706651817,-7.478805304492898,4
-1.4960990971841919,-1.348686394023062,3
6.280745816708005,-7.35761056288497,2
4.915779378848473,-5.796339121927295,1
6.744819286735913,-6.187511943091082,1
-3.792796019246248,-2.8158026988414604,3
5.020571095214119,-4.243670037901932,8
-0.7446656798611272,-6.22867872211981,4
0.639820645418689,-8.063273930412977,4
0.26678316246642186,5.296572544841517,0
5.488599462278786,-6.18724095469823,2
5.1766336005484215,-5.597284051991799,2
-2.0838778646264244,-2.304498771043852,3
6.3833266374042115,-7.123701434332002,1
5.740956550284716,2.428871801623781,5
4.801418409898035,1.3233337082565826,5
-7.330185090275709,-11.363287005091724,6
-2.5451190586994867,7.34300909237482,9
6.74961516256577,-6.057701264774471,2
-1.3192010825611713,6.337961411299593,0
6.023819847027824,-7.171756783524383,1
6.452697173133094,-7.417415150300107,2
4.5383095215382205,-7.599379517150506,2
-9.482508215087861,5.624503091780032,7
-2.041763069577584,-6.909798466050148,4
-7.884363381227021,-8.472690367806038,6
6.935617418689698,-6.416165121030711,2
5.725307937212777,-8.534326332258876,2
-2.2586504966636314,-1.093138977235526,3
5.202616092820376,2.537287045667049,5
4.078727497793505,-0.2168210109285731,5
-1.0717951466430495,8.432001667693113,9
2.927296736007185,4.913956857165673,0
-2.6218480513966655,7.71817956169836,9
-8.94192581422193,-9.631367399579815,6
-1.4824360576855609,7.714463384254291,9
5.88753441842366,-6.215962298256071,1
-8.187229984704043,3.6480992050597747,7
4.293257211020318,-4.504339882729332,8
-7.73516549692203,1.1274842849634856,7
-8.247018523302874,-9.248635296783842,6
-7.822943997792547,-7.7277577626135,6
5.624618924476427,-7.37018749690509,2
-0.7688512473828245,-7.2478618222277325,4
-5.522587394631973,3.0914578928425684,7
-9.123609850145074,-9.927687957231393,6
1.1829971516337432,1.9912067010766297,5
1.5049699412222708,3.8433521317310873,0
-3.503554604745367,-2.7621145987465177,3
5.0217456567809595,-5.808420324054429,8
7.086783767220998,-5.2434777626309,2
0.32788493704153465,7.895607783098637,9
-1.418527370177071,5.828033054675636,9
0.4322257791605719,-7.444765555949827,4
-1.6229349824644153,-1.8948778265294637,3
3.5564844567828486,2.5535192944833236,5
6.901325985861471,-6.148700209851773,1
4.690785769966708,-4.356392200748894,8
-1.803863101096871,7.99136206493479,9
6.140744572971528,-6.66100688822919,1
-1.8944960898458907,-2.421871701815573,3
0.9183244094210878,5.490848651479085,0
3.666135575972519,0.1730992439971042,5
0.7433754399880304,6.013885295419545,0
-9.341380651455562,4.534444478562034,7
-0.9231000354842775,5.333066326396113,0
5.248054428295617,-4.7145466037284,8
4.266976887073231,1.4905093617649996,5
0.8380444977805088,-6.785560395525619,4
4.741681484278314,-3.8574691241421015,8
-3.8015591402809976,5.138861690253058,9
3.7020756802405854,0.7254031799362335,5
3.9122883300554783,-4.087113609450816,8
